CLUSTER 1: LOW_USAGE_ROTATION_GUARD
================================================================================

Total players: 146

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1   PC2 position expected_position
            Jaylen Clark    3.99               0.79               0.96     0.61    0.70    0.12       0.33       12.57                  0.40                     0.24        1 -2.84 -0.07    Guard             Guard
            Taelon Peter    4.54               0.27               1.27     1.08    0.68    0.11       0.73       12.73                  0.28                     0.26        1 -2.85 -1.03    Guard             Guard
     Patrick Baldwin Jr.    3.67               1.33               1.22     0.56    0.33    0.56       0.56       11.19                  0.31                     0.37        1 -2.85  0.07  Forward             Guard
              Jamal Cain    5.46               0.69               1.26     0.74    0.28    0.10       0.49       11.87                  0.41                     0.32        1 -2.85 -0.27  Forward             Guard
              Asa Newell    4.88               0.93               1.05     0.56    0.37    0.33       0.49       10.51                  0.41                     0.28        1 -2.86  0.24  Forward             Guard
             Gary Harris    2.67               0.33               0.94     1.06    0.56    0.19       0.40       13.56                  0.39                     0.32        1 -2.89 -0.63    Guard             Guard
         Skal Labissiere    4.33               1.00               2.00     1.00    0.67    0.33       0.33       12.31                  0.25                     0.11        1 -2.89  0.33  Forward             Guard
                Mo Bamba    2.50               2.50               3.00     0.25    0.00    0.75       0.50       10.77                  0.29                     0.00        1 -2.91  2.85   Center             Guard
            Tony Bradley    4.05               1.46               1.38     0.51    0.15    0.18       0.46       10.79                  0.50                     0.05        1 -2.92  1.83  Forward             Guard
              Seth Curry    7.22               0.44               0.78     0.89    0.33    0.00       0.22       13.30                  0.38                     0.35        1 -2.98 -0.90    Guard             Guard
           Liam McNeeley    4.40               0.43               1.97     0.77    0.17    0.10       0.43       11.93                  0.38                     0.35        1 -2.99 -0.52  Forward             Guard
             Micah Peavy    4.02               0.72               1.17     0.97    0.70    0.12       0.32       14.35                  0.28                     0.18        1 -2.99 -0.36    Guard             Guard
          Nick Smith Jr.    5.97               0.10               0.69     1.03    0.31    0.07       0.69       12.14                  0.38                     0.29        1 -2.99 -0.90    Guard             Guard
           Jabari Walker    4.27               1.13               1.89     0.54    0.37    0.21       0.43       11.78                  0.32                     0.18        1 -3.01  0.45  Forward             Guard
          Tyrese Proctor    5.10               0.20               0.88     1.35    0.49    0.00       0.67       10.23                  0.36                     0.26        1 -3.02 -0.88    Guard             Guard
          Doug McDermott    5.61               0.25               0.96     0.79    0.18    0.14       0.46       14.56                  0.35                     0.34        1 -3.04 -0.88  Forward             Guard
            Malevy Leons    3.12               1.21               0.92     0.88    0.58    0.38       0.54       10.59                  0.31                     0.15        1 -3.05  0.51  Forward             Guard
          Jordan Hawkins    4.90               0.38               1.28     0.78    0.24    0.18       0.68       13.00                  0.32                     0.27        1 -3.06 -0.60    Guard             Guard
           Jeremy Sochan    3.40               0.79               1.56     0.81    0.40    0.16       0.49       10.23                  0.41                     0.11        1 -3.06  0.70  Forward             Guard
         Rasheer Fleming    4.11               1.06               1.13     0.26    0.37    0.37       0.50       11.56                  0.33                     0.26        1 -3.08  0.22  Forward             Guard
             Jett Howard    5.47               0.42               1.16     0.82    0.18    0.20       0.27       12.43                  0.38                     0.34        1 -3.09 -0.50    Guard             Guard
              Tyus Jones    2.94               0.15               0.92     2.35    0.56    0.05       0.36       14.30                  0.27                     0.22        1 -3.11 -1.18    Guard             Guard
           Carter Bryant    4.07               0.51               1.96     0.60    0.23    0.29       0.46       11.08                  0.34                     0.25        1 -3.11  0.01  Forward             Guard
        Garrison Mathews    5.20               0.13               1.00     0.67    0.40    0.20       0.20       12.88                  0.35                     0.32        1 -3.16 -0.76    Guard             Guard
             RayJ Dennis    4.00               0.50               0.94     1.88    0.25    0.25       0.94       11.01                  0.21                     0.22        1 -3.22 -0.86    Guard             Guard
         Jase Richardson    4.43               0.39               0.78     1.07    0.35    0.04       0.46       10.65                  0.38                     0.23        1 -3.25 -0.40    Guard             Guard
          Omer Yurtseven    3.78               1.44               1.89     0.89    0.22    0.11       1.00       11.33                  0.20                     0.00        1 -3.28  0.66   Center             Guard
           Dalton Knecht    3.98               0.26               1.11     0.32    0.19    0.21       0.43       10.00                  0.39                     0.27        1 -3.41 -0.15  Forward             Guard
    Terrence Shannon Jr.    5.12               0.21               0.86     0.79    0.31    0.02       0.50       11.80                  0.30                     0.25        1 -3.43 -0.89    Guard             Guard
            Monte Morris    3.00               0.17               1.00     1.50    0.17    0.17       0.33       10.60                  0.39                     0.11        1 -3.49  0.17    Guard             Guard
           Chris Boucher    2.33               0.22               1.78     0.33    0.56    0.78       0.11       10.28                  0.24                     0.09        1 -3.51  0.58  Forward             Guard
             Tyler Smith    3.27               1.00               1.36     0.45    0.36    0.00       0.27       11.41                  0.28                     0.18        1 -3.57 -0.03  Forward             Guard
             Maxi Kleber    2.00               0.76               1.10     0.64    0.43    0.24       0.36       10.43                  0.28                     0.11        1 -3.62  0.31  Forward             Guard
             Amir Coffey    2.93               0.40               0.80     0.53    0.20    0.11       0.18       10.11                  0.34                     0.16        1 -3.89  0.03    Guard             Guard
         Payton Sandfort    4.00               0.00               2.00     0.00    0.00    0.00       0.33       11.58                  0.24                     0.25        1 -3.95 -0.82  Forward             Guard
           Drew Peterson    0.83               0.50               1.00     0.33    0.50    0.17       0.00       10.56                  0.06                     0.00        1 -4.68 -0.28  Forward             Guard
