CLUSTER 0: THREE_AND_D_WING
================================================================================

Total players: 183

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1   PC2 position expected_position
             Kris Murray    5.75               1.57               2.04     1.39    0.86    0.39       0.84       23.08                  0.42                     0.24        0 -0.97  0.49  Forward             Guard
             Alex Caruso    6.21               0.50               2.27     1.96    1.29    0.30       0.86       18.01                  0.42                     0.29        0 -0.97 -0.62    Guard             Guard
              Sam Hauser    9.22               0.72               3.13     1.46    0.49    0.29       0.45       24.62                  0.39                     0.36        0 -1.05 -0.49  Forward             Guard
             Josh Minott    7.43               0.98               2.24     0.94    0.90    0.49       0.88       16.83                  0.46                     0.36        0 -1.08  0.04  Forward             Guard
              Jaden Ivey    8.54               0.65               1.81     1.84    0.62    0.38       1.11       17.92                  0.44                     0.39        0 -1.10 -0.66    Guard             Guard
              Isaiah Joe   11.06               0.46               2.08     1.32    0.70    0.15       0.63       21.05                  0.43                     0.40        0 -1.12 -0.99    Guard             Guard
          Grant Williams    6.97               1.26               2.63     1.54    0.49    0.49       0.89       19.52                  0.40                     0.38        0 -1.13  0.01  Forward             Guard
               Dean Wade    5.80               0.90               3.29     1.49    0.75    0.39       0.27       22.12                  0.42                     0.35        0 -1.14 -0.01  Forward             Guard
            Will Richard    6.49               0.97               1.53     1.35    1.16    0.13       0.78       19.76                  0.44                     0.32        0 -1.15 -0.53    Guard             Guard
            Kobe Sanders    7.22               0.42               1.82     1.60    0.73    0.15       1.21       19.64                  0.45                     0.35        0 -1.16 -0.85    Guard             Guard
           Klay Thompson   11.74               0.26               1.84     1.40    0.47    0.32       0.93       21.69                  0.38                     0.38        0 -1.21 -1.10    Guard             Guard
          Karlo Matkovic    5.68               1.16               2.53     0.81    0.40    0.87       0.55       14.51                  0.62                     0.34        0 -1.22  1.60  Forward             Guard
              Vit Krejci    8.56               0.48               1.83     1.56    0.73    0.28       0.64       21.51                  0.42                     0.38        0 -1.23 -0.88    Guard             Guard
           Javonte Green    6.95               0.75               2.05     0.68    1.25    0.31       0.56       17.53                  0.45                     0.34        0 -1.25 -0.32    Guard             Guard
            Ben Sheppard    7.06               0.66               2.34     1.75    0.60    0.09       0.63       21.20                  0.45                     0.38        0 -1.28 -0.68    Guard             Guard
        Mouhamadou Gueye    5.00               0.00               3.00     2.00    0.00    0.00       1.00       16.45                  0.67                     0.50        0 -1.29 -0.52  Forward             Guard
              Keon Ellis    6.67               0.53               1.35     1.00    1.15    0.62       0.57       20.34                  0.39                     0.29        0 -1.35 -0.29    Guard             Guard
            Blake Hinson   12.08               0.62               1.46     1.08    0.31    0.15       0.38       19.81                  0.52                     0.52        0 -1.37 -0.91  Forward             Guard
          Ja'Kobe Walter    7.46               0.79               1.82     1.20    1.01    0.18       0.51       20.22                  0.40                     0.36        0 -1.38 -0.78    Guard             Guard
         DaQuan Jeffries   10.33               1.00               0.67     0.33    0.67    0.00       0.00       19.85                  0.70                     0.33        0 -1.43  0.57    Guard             Guard
           Landry Shamet    9.31               0.45               1.35     1.41    0.61    0.18       0.59       22.75                  0.42                     0.37        0 -1.44 -1.00    Guard             Guard
